iter	RMSE
0	10593.34559
1	10267.84473
2	9982.412741
3	9724.374248
4	9502.130416
5	9312.871381
6	9162.116993
7	9020.392996
8	8896.616617
9	8802.396516
10	8712.42074
11	8643.044735
12	8576.500381
13	8517.416291
14	8467.110081
15	8422.097
16	8385.827055
17	8354.818342
18	8329.728311
19	8304.429285
20	8280.912238
21	8261.165741
22	8243.223032
23	8228.594326
24	8213.443055
25	8199.138156
26	8184.920549
27	8173.368848
28	8163.813722
29	8154.407964
30	8146.325782
31	8138.918994
32	8131.115911
33	8123.49926
34	8117.197788
35	8111.738649
36	8104.123818
37	8098.449116
38	8089.92739
39	8084.342188
40	8081.412997
41	8074.690361
42	8069.813144
43	8063.087933
44	8055.36622
45	8051.221348
46	8047.394572
47	8038.769804
48	8034.169302
49	8029.475618
50	8024.837434
51	8020.611455
52	8014.439597
53	8011.558695
54	8009.112857
55	8004.372642
56	7999.817582
57	7995.43833
58	7992.094932
59	7987.324603
60	7983.963856
61	7978.603249
62	7974.07533
63	7970.457281
64	7966.364318
65	7961.197487
66	7957.498964
67	7952.571852
68	7947.93768
69	7944.577348
70	7942.185127
71	7938.530767
72	7935.376425
73	7932.150804
74	7925.710837
75	7924.592478
76	7920.661683
77	7917.130417
78	7912.042639
79	7908.404616
80	7903.587484
81	7900.678635
82	7897.46306
83	7893.678946
84	7889.703463
85	7887.210378
86	7882.209998
87	7878.268193
88	7872.811331
89	7864.820732
90	7861.959318
91	7857.439326
92	7852.965588
93	7849.804297
94	7846.27873
95	7843.45209
96	7838.610223
97	7834.445972
98	7829.873087
99	7822.299728
100	7817.909086
101	7814.954574
102	7811.066476
103	7806.765035
104	7804.123119
105	7799.867283
106	7793.854561
107	7789.921557
108	7786.084413
109	7783.0887
110	7780.39435
111	7775.524627
112	7770.613017
113	7766.00346
114	7763.225583
115	7757.523937
116	7753.621588
117	7749.957826
118	7746.715244
119	7742.00705
120	7736.466786
121	7732.768183
122	7727.30373
123	7723.092452
124	7719.27654
125	7715.443435
126	7711.151676
127	7707.956838
128	7701.811051
129	7698.440562
130	7694.777706
131	7691.573978
132	7688.768076
133	7685.5403
134	7682.278126
135	7677.391756
136	7674.048218
137	7668.480465
138	7665.910764
139	7663.228122
140	7660.868593
141	7658.01586
142	7655.248872
143	7651.865109
144	7645.349177
145	7642.034274
146	7640.179709
147	7636.438162
148	7632.343585
149	7629.288239
150	7626.836354
151	7622.243073
152	7619.005701
153	7615.718851
154	7611.723627
155	7608.93269
156	7604.545817
157	7601.119298
158	7598.590163
159	7594.607313
160	7591.212795
161	7589.132476
162	7584.900795
163	7582.119009
164	7581.023589
165	7578.194867
166	7575.139274
167	7569.874935
168	7563.304495
169	7561.620805
170	7559.456684
171	7554.909742
172	7550.948134
173	7547.114434
174	7543.690392
175	7540.221445
176	7536.796762
177	7534.054643
178	7529.614564
179	7526.997964
180	7523.418564
181	7519.607927
182	7515.797196
183	7513.209277
184	7511.769595
185	7507.876087
186	7505.412564
187	7504.278764
188	7499.5809
189	7493.12471
190	7486.966734
191	7483.912703
192	7481.761897
193	7479.065202
194	7472.508397
195	7469.025434
196	7467.377883
197	7465.544836
198	7463.453894
199	7461.533258
200	7457.288405
201	7453.857858
202	7449.043114
203	7442.874928
204	7441.297577
205	7438.974855
206	7435.790989
207	7431.552462
208	7428.33502
209	7425.659689
210	7423.877623
211	7419.19539
212	7416.366985
213	7414.252457
214	7411.310341
215	7408.780242
216	7405.036008
217	7402.441939
218	7399.498995
219	7396.177631
220	7394.319071
221	7390.636142
222	7390.516639
223	7388.031735
224	7384.207884
225	7382.6058
226	7380.83839
227	7378.989777
228	7377.931467
229	7375.218572
230	7372.569635
231	7369.883865
232	7368.170932
233	7366.267652
234	7363.771626
235	7361.531296
236	7357.220061
237	7353.107189
238	7350.503551
239	7345.094527
240	7341.159489
241	7340.081575
242	7336.189186
243	7333.824784
244	7330.767152
245	7326.965083
246	7324.497037
247	7320.870197
248	7316.539413
249	7315.547224
250	7310.266882
251	7307.598305
252	7304.344317
253	7301.981653
254	7301.88229
255	7297.801676
256	7293.803352
257	7290.068594
258	7287.934614
259	7284.237296
260	7281.08737
261	7277.737791
262	7274.829301
263	7272.212454
264	7270.099412
265	7265.769806
266	7265.662552
267	7261.918079
268	7259.666926
269	7256.529844
270	7253.25748
271	7252.228158
272	7248.553026
273	7246.567836
274	7242.032713
275	7240.650128
276	7237.130209
277	7235.149309
278	7232.288512
279	7228.277494
280	7225.661501
281	7222.132481
282	7221.878874
283	7220.147665
284	7217.939707
285	7215.760137
286	7211.890269
287	7207.521399
288	7204.092315
289	7202.523316
290	7199.00566
291	7195.072383
292	7192.021629
293	7190.155331
294	7187.135839
295	7186.040184
296	7182.359892
297	7179.974317
298	7178.543255
299	7175.751348
300	7172.698995
301	7170.23407
302	7168.245006
303	7168.147758
304	7163.969191
305	7160.864567
306	7160.777021
307	7159.671083
308	7157.586188
309	7153.69048
310	7149.909017
311	7149.822457
312	7149.509617
313	7147.817222
314	7144.982306
315	7144.90151
316	7141.175451
317	7139.433407
318	7137.091737
319	7134.155425
320	7132.882834
321	7130.099164
322	7127.22554
323	7123.944849
324	7120.24051
325	7117.557106
326	7114.520855
327	7109.630257
328	7106.902357
329	7104.775316
330	7102.429948
331	7099.655013
332	7097.456411
333	7095.480166
334	7092.68064
335	7090.135841
336	7089.821115
337	7087.265193
338	7082.983636
339	7079.31008
340	7076.686152
341	7074.218513
342	7071.960339
343	7067.388191
344	7064.946997
345	7061.785077
346	7059.66562
347	7057.37932
348	7055.411258
349	7053.455404
350	7050.800088
351	7048.604279
352	7046.285534
353	7045.146261
354	7043.602875
355	7041.517868
356	7039.902978
357	7036.687579
358	7033.692276
359	7031.439657
360	7028.732731
361	7025.389125
362	7022.276452
363	7020.240811
364	7017.99076
365	7014.182425
366	7012.134459
367	7010.132766
368	7008.333222
369	7005.785578
370	7005.700154
371	7003.528578
372	7000.468063
373	6997.391174
374	6994.367658
375	6991.421635
376	6989.423954
377	6988.046821
378	6987.424378
379	6985.399138
380	6981.700464
381	6978.95228
382	6975.690143
383	6974.615793
384	6972.544983
385	6969.601338
386	6966.544519
387	6964.188691
388	6961.859542
389	6959.606563
390	6956.670256
391	6953.876414
392	6952.378097
393	6949.25461
394	6946.350361
395	6943.427172
396	6940.77752
397	6937.779383
398	6935.670319
399	6932.943061
400	6930.95723
401	6929.444187
402	6926.127685
403	6923.919469
404	6922.500463
405	6919.923753
406	6919.863573
407	6917.500884
408	6914.957586
409	6912.741826
410	6909.249144
411	6905.603401
412	6904.039427
413	6901.922917
414	6901.869176
415	6900.627042
416	6899.446835
417	6896.514012
418	6893.276488
419	6893.211147
420	6891.504391
421	6890.268983
422	6887.963306
423	6886.726083
424	6883.518089
425	6881.389116
426	6879.602918
427	6877.028351
428	6874.725645
429	6872.070026
430	6870.183629
431	6868.448944
432	6866.437923
433	6866.078506
434	6863.297469
435	6861.106902
436	6861.053412
437	6859.641283
438	6857.639846
439	6856.100374
440	6855.790976
441	6855.741975
442	6852.930594
443	6849.172897
444	6847.992148
445	6845.840221
446	6842.846538
447	6840.141497
448	6840.084767
449	6837.496189
450	6835.290163
451	6833.042956
452	6831.524467
453	6829.389092
454	6827.572456
455	6827.534694
456	6825.865359
457	6823.489404
458	6820.738268
459	6818.86828
460	6817.218773
461	6814.528729
462	6812.509388
463	6811.112268
464	6809.159348
465	6807.457183
466	6805.400411
467	6803.684038
468	6800.998237
469	6799.143053
470	6796.130348
471	6796.086639
472	6794.030878
473	6792.425094
474	6790.778613
475	6788.256071
476	6786.511173
477	6784.423502
478	6781.419659
479	6780.120628
480	6777.14505
481	6774.922635
482	6772.409563
483	6770.606615
484	6768.500707
485	6767.121784
486	6765.454406
487	6762.452798
488	6760.288657
489	6758.957998
490	6756.975281
491	6756.866647
492	6754.677915
493	6752.386194
494	6750.01816
495	6747.760342
496	6744.345592
497	6742.125819
498	6740.009109
499	6737.465573
500	6735.102111
501	6735.059628
502	6732.59418
503	6729.8554
504	6728.6225
505	6727.73862
506	6725.732692
507	6722.893877
508	6721.250787
509	6719.55341
510	6717.156798
511	6715.548441
512	6712.481146
513	6711.255126
514	6708.621698
515	6706.173561
516	6704.191728
517	6702.752532
518	6700.237603
519	6698.278812
520	6696.738521
521	6694.207208
522	6691.873279
523	6689.994798
524	6687.805135
525	6685.026342
526	6683.572882
527	6681.63059
528	6679.031221
529	6675.815742
530	6673.011043
531	6670.514378
532	6667.295679
533	6664.794543
534	6660.675966
535	6658.853734
536	6657.131239
537	6654.938003
538	6653.164729
539	6650.560608
540	6648.555088
541	6647.647661
542	6645.729817
543	6642.925168
544	6640.180431
545	6636.520212
546	6635.107614
547	6632.330206
548	6631.070991
549	6628.214679
550	6626.375091
551	6623.844612
552	6622.681415
553	6620.339698
554	6617.163598
555	6615.596912
556	6613.51991
557	6612.086374
558	6610.094446
559	6607.434083
560	6605.303864
561	6604.939855
562	6603.065657
563	6600.208213
564	6597.188721
565	6594.788074
566	6593.41652
567	6591.957482
568	6590.339248
569	6587.582621
570	6587.364586
571	6586.391811
572	6584.127677
573	6582.677203
574	6580.623267
575	6578.941478
576	6576.076419
577	6574.810827
578	6572.459032
579	6569.935658
580	6568.135599
581	6566.873046
582	6565.063124
583	6565.023166
584	6562.295938
585	6561.392503
586	6559.155403
587	6557.974899
588	6555.444233
589	6553.72784
590	6551.875202
591	6550.544219
592	6547.742951
593	6545.271284
594	6543.150477
595	6541.738148
596	6539.232306
597	6537.731973
598	6536.380163
599	6534.621037
600	6533.211598
601	6531.054287
602	6529.568045
603	6529.265981
604	6527.928281
605	6526.131403
606	6524.237705
607	6522.554525
608	6520.319919
609	6518.165373
610	6516.582019
611	6513.29238
612	6512.098616
613	6510.346402
614	6507.990689
615	6505.877162
616	6505.047039
617	6503.427894
618	6501.364473
619	6499.631207
620	6499.212916
621	6496.855438
622	6495.710117
623	6495.158236
624	6493.675366
625	6492.102549
626	6489.969764
627	6487.498721
628	6485.401996
629	6483.731841
630	6481.402728
631	6481.371573
632	6479.643144
633	6479.466177
634	6479.415608
635	6479.191737
636	6476.378385
637	6476.190848
638	6475.303234
639	6472.930235
640	6471.619406
641	6470.330594
642	6468.366327
643	6466.616479
644	6466.565898
645	6464.633069
646	6462.868454
647	6461.823548
648	6461.800976
649	6459.614407
650	6458.325714
651	6458.295427
652	6456.242821
653	6453.648583
654	6451.369905
655	6449.950939
656	6449.932605
657	6448.475873
658	6446.85429
659	6445.076604
660	6443.116771
661	6441.565921
662	6440.374708
663	6440.345894
664	6438.427565
665	6436.910553
666	6434.874848
667	6432.397976
668	6430.870395
669	6429.225203
670	6427.305518
671	6427.285992
672	6425.264917
673	6423.462197
674	6421.412615
675	6419.396598
676	6417.264078
677	6415.083428
678	6413.702351
679	6413.673842
680	6412.228834
681	6411.376118
682	6408.970848
683	6406.718539
684	6406.696598
685	6403.908744
686	6403.884034
687	6402.350767
688	6400.741112
689	6398.937864
690	6396.647843
691	6394.517987
692	6392.214303
693	6392.191635
694	6391.347991
695	6391.32691
696	6389.486905
697	6389.474357
698	6388.070737
699	6385.289683
700	6383.441926
701	6381.978557
702	6379.841989
703	6378.486609
704	6376.45217
705	6376.433961
706	6373.043126
707	6370.734513
708	6368.777193
709	6366.054293
710	6364.604992
711	6363.095761
712	6360.695911
713	6359.212399
714	6357.409249
715	6356.025576
716	6353.033412
717	6350.761656
718	6349.249949
719	6347.438822
720	6344.685111
721	6343.019771
722	6341.192912
723	6339.674463
724	6338.283459
725	6337.651446
726	6335.114722
727	6332.619351
728	6330.884327
729	6329.2436
730	6327.881969
731	6325.629654
732	6324.866385
733	6323.079462
734	6321.189939
735	6319.533586
736	6317.880896
737	6316.282671
738	6315.278992
739	6313.906995
740	6312.236741
741	6311.018138
742	6308.103052
743	6305.684671
744	6303.8328
745	6301.983406
746	6300.479495
747	6299.275936
748	6297.52668
749	6296.590772
750	6295.5727
751	6293.464955
752	6290.843556
753	6289.773276
754	6287.335598
755	6286.850648
756	6284.814379
757	6282.674375
758	6281.158751
759	6279.116193
760	6276.960031
761	6274.7716
762	6273.508576
763	6272.327076
764	6270.235029
765	6268.386097
766	6267.013988
767	6265.090629
768	6263.633247
769	6262.058053
770	6260.148454
771	6258.366228
772	6256.579387
773	6256.563912
774	6254.859649
775	6253.549393
776	6252.263743
777	6251.131839
778	6249.503595
779	6248.073964
780	6246.497678
781	6244.905024
782	6244.896097
783	6242.229426
784	6240.955942
785	6240.574003
786	6238.594136
787	6236.93801
788	6235.563516
789	6234.064694
790	6231.909126
791	6231.899782
792	6230.032913
793	6228.330918
794	6226.086582
795	6224.63481
796	6222.400162
797	6219.14227
798	6217.98546
799	6216.741827
800	6214.105594
801	6212.658731
802	6210.632987
803	6209.395238
804	6206.910564
805	6204.408759
806	6202.66087
807	6199.724525
808	6198.326774
809	6196.612652
810	6195.080467
811	6193.258848
812	6192.204801
813	6190.785636
814	6189.162195
815	6187.354725
816	6186.277572
817	6185.043449
818	6182.733458
819	6181.20805
820	6179.699616
821	6178.087504
822	6176.815962
823	6175.670236
824	6173.838174
825	6171.948357
826	6169.57181
827	6168.326321
828	6166.748609
829	6165.718355
830	6164.136516
831	6162.581622
832	6161.059528
833	6159.977079
834	6158.474949
835	6156.976617
836	6155.211094
837	6154.064176
838	6151.927332
839	6150.680664
840	6148.833774
841	6147.566511
842	6145.665099
843	6144.417046
844	6142.907741
845	6140.665428
846	6138.523891
847	6136.785149
848	6134.902339
849	6132.583015
850	6131.39887
851	6129.586666
852	6127.061627
853	6126.038519
854	6124.084989
855	6122.801225
856	6119.708791
857	6117.833049
858	6116.588771
859	6115.031856
860	6114.024107
861	6112.392812
862	6112.024575
863	6111.896927
864	6110.611159
865	6109.51605
866	6107.92708
867	6107.23365
868	6106.362065
869	6104.483137
870	6103.623798
871	6101.885231
872	6100.037265
873	6098.702064
874	6098.462159
875	6096.84512
876	6095.500514
877	6094.536518
878	6092.05203
879	6090.409256
880	6090.177278
881	6088.730639
882	6087.075543
883	6086.049293
884	6084.212979
885	6083.180402
886	6081.935994
887	6080.581856
888	6078.407038
889	6077.159368
890	6076.17284
891	6074.692966
892	6073.481326
893	6072.549743
894	6071.341543
895	6071.319644
896	6069.814102
897	6067.787255
898	6067.177809
899	6065.803114
900	6064.341338
901	6063.569813
902	6063.553077
903	6062.763821
904	6061.015057
905	6058.52098
906	6056.939763
907	6055.209574
908	6054.229277
909	6052.032115
910	6051.342231
911	6049.819814
912	6048.497112
913	6046.831645
914	6044.941033
915	6042.916808
916	6040.679521
917	6038.931336
918	6037.721576
919	6036.279068
920	6034.467129
921	6033.256497
922	6031.125401
923	6029.745665
924	6027.869084
925	6026.534724
926	6024.503299
927	6023.1877
928	6022.394503
929	6020.788874
930	6019.566041
931	6018.370716
932	6018.354422
933	6017.274265
934	6015.512791
935	6014.52862
936	6012.794169
937	6011.397635
938	6010.675193
939	6008.514257
940	6008.49588
941	6006.302723
942	6004.919371
943	6003.558199
944	6002.387616
945	5999.607381
946	5998.148368
947	5996.013809
948	5995.107759
949	5993.295861
950	5992.037408
951	5989.826375
952	5988.174035
953	5987.771742
954	5986.26809
955	5984.879468
956	5983.736971
957	5983.238646
958	5981.745167
959	5980.420685
960	5979.081027
961	5977.832144
962	5976.157363
963	5974.937061
964	5973.956661
965	5973.477703
966	5972.522849
967	5969.472288
968	5967.838774
969	5965.869098
970	5963.972019
971	5961.95846
972	5960.754413
973	5959.384261
974	5958.189507
975	5956.481542
976	5954.4903
977	5952.733758
978	5951.982386
979	5951.616625
980	5951.382282
981	5949.613313
982	5948.369692
983	5946.832282
984	5945.86575
985	5943.44267
986	5941.760093
987	5939.755038
988	5938.689392
989	5937.124976
990	5937.117129
991	5935.553571
992	5934.497486
993	5932.558111
994	5931.554646
995	5930.13148
996	5928.851647
997	5927.009619
998	5926.148348
999	5924.292834
