iter	Passed	Remaining
0	6	6747
1	14	7010
2	21	7008
3	28	7085
4	34	6863
5	40	6661
6	46	6564
7	51	6374
8	56	6184
9	62	6170
10	67	6056
11	72	5964
12	78	5926
13	83	5877
14	89	5879
15	95	5883
16	100	5807
17	105	5740
18	111	5734
19	116	5708
20	121	5656
21	126	5640
22	131	5587
23	136	5560
24	143	5580
25	148	5578
26	154	5559
27	159	5549
28	164	5520
29	170	5500
30	175	5497
31	180	5458
32	184	5419
33	189	5389
34	194	5356
35	199	5329
36	204	5312
37	209	5307
38	214	5289
39	219	5273
40	225	5282
41	230	5253
42	236	5260
43	242	5263
44	248	5265
45	255	5303
46	261	5312
47	267	5310
48	273	5308
49	278	5288
50	283	5273
51	288	5266
52	294	5260
53	299	5248
54	306	5259
55	312	5264
56	317	5257
57	324	5278
58	330	5273
59	336	5276
60	342	5271
61	347	5262
62	353	5260
63	358	5249
64	363	5230
65	369	5223
66	374	5218
67	379	5199
68	384	5186
69	389	5171
70	394	5158
71	399	5152
72	405	5152
73	410	5138
74	415	5128
75	421	5121
76	425	5103
77	430	5092
78	437	5102
79	442	5086
80	447	5072
81	452	5068
82	457	5056
83	464	5062
84	476	5129
85	483	5141
86	492	5166
87	498	5170
88	506	5186
89	513	5189
90	519	5190
91	525	5185
92	530	5170
93	534	5155
94	539	5135
95	543	5118
96	548	5108
97	553	5090
98	557	5075
99	561	5056
100	567	5049
101	572	5036
102	576	5021
103	581	5010
104	585	4993
105	589	4973
106	593	4956
107	601	4967
108	605	4947
109	609	4927
110	614	4919
111	618	4903
112	622	4884
113	626	4867
114	630	4855
115	635	4842
116	639	4826
117	643	4809
118	648	4799
119	652	4786
120	657	4774
121	662	4764
122	666	4751
123	670	4735
124	674	4720
125	679	4709
126	682	4692
127	686	4678
128	690	4664
129	695	4653
130	699	4639
131	703	4625
132	707	4614
133	712	4604
134	716	4590
135	720	4576
136	724	4564
137	729	4553
138	733	4540
139	737	4528
140	741	4519
141	746	4512
142	752	4507
143	756	4499
144	762	4494
145	767	4486
146	771	4476
147	776	4467
148	779	4453
149	784	4443
150	787	4430
151	792	4422
152	796	4411
153	800	4398
154	804	4386
155	809	4377
156	813	4368
157	817	4357
158	822	4349
159	826	4338
160	831	4331
161	835	4322
162	840	4315
163	846	4314
164	851	4311
165	857	4309
166	863	4307
167	869	4307
168	874	4302
169	879	4293
170	883	4285
171	888	4279
172	893	4271
173	898	4266
174	904	4263
175	909	4258
176	914	4252
177	920	4249
178	924	4241
179	929	4232
180	934	4228
181	940	4225
182	945	4219
183	949	4209
184	953	4201
185	958	4192
186	962	4185
187	966	4175
188	970	4166
189	974	4156
190	979	4147
191	983	4139
192	988	4131
193	992	4122
194	996	4113
195	1000	4106
196	1005	4096
197	1009	4087
198	1014	4084
199	1020	4083
200	1026	4081
201	1032	4077
202	1037	4072
203	1042	4066
204	1046	4059
205	1051	4053
206	1055	4044
207	1061	4040
208	1065	4032
209	1069	4024
210	1074	4018
211	1079	4011
212	1083	4004
213	1088	3997
214	1093	3994
215	1098	3985
216	1102	3977
217	1107	3971
218	1112	3965
219	1117	3961
220	1121	3953
221	1127	3952
222	1132	3944
223	1136	3938
224	1142	3934
225	1146	3927
226	1152	3924
227	1158	3923
228	1164	3919
229	1169	3914
230	1175	3912
231	1180	3907
232	1185	3902
233	1191	3898
234	1195	3890
235	1199	3884
236	1204	3878
237	1210	3874
238	1215	3868
239	1220	3863
240	1225	3859
241	1230	3854
242	1236	3850
243	1241	3847
244	1246	3841
245	1252	3839
246	1257	3833
247	1261	3825
248	1265	3817
249	1271	3813
250	1275	3806
251	1279	3798
252	1284	3791
253	1289	3786
254	1293	3778
255	1298	3772
256	1303	3769
257	1308	3762
258	1312	3755
259	1317	3751
260	1323	3746
261	1327	3740
262	1332	3733
263	1337	3728
264	1342	3722
265	1346	3715
266	1351	3709
267	1355	3702
268	1360	3696
269	1364	3689
270	1369	3684
271	1373	3677
272	1378	3670
273	1383	3666
274	1388	3661
275	1393	3654
276	1398	3650
277	1403	3646
278	1408	3640
279	1415	3638
280	1419	3632
281	1424	3627
