manufacturer,mean,count
acura,7919.730941704036,223
alfa-romeo,17884.25,4
aston-martin,12479.0,2
audi,14475.860182370821,329
bmw,13968.291392904073,3044
buick,10891.441002949852,678
cadillac,12637.475490196079,204
chevrolet,14994.540583136328,3807
chrysler,8044.911016949152,236
dodge,13085.385681293303,433
fiat,8673.953488372093,43
ford,14767.023044793317,6943
gmc,16435.62972972973,370
honda,8994.715269804821,1742
hyundai,7691.132992327366,391
infiniti,12219.835616438357,73
jaguar,18299.083333333332,12
jeep,15062.223592906708,1297
kia,10366.273952095808,668
land rover,28786.0,2
lexus,10942.591397849463,186
lexuѕ,16867.0,1
lincoln,9158.28947368421,152
mazda,7885.608562691132,327
mercedes-benz,14494.738693467336,199
mercury,5715.122580645161,155
mini,7775.054054054054,37
mitsubishi,11893.364077669903,206
nissan,10014.547,1000
nisѕan,7982.0,1
niѕsan,5847.0,2
pontiac,8119.648275862069,145
porsche,20717.75,12
ram,24430.69066503966,1639
rover,15910.111111111111,18
saturn,7043.804878048781,41
subaru,13530.024305555555,288
subαru,8823.5,2
sαturn,7587.0,1
toyota,9206.552188552188,1782
toyotа,2616.5,2
volkswagen,8004.514248704663,772
volvo,10533.316666666668,60
vоlkswagen,4997.0,1
аcura,14878.0,1
ᴄhrysler,5192.0,1
